Number,Category,Topic,Status,Date Built,Folder,Notes
1,Late-night and emergency fires,"The 11 PM client WhatsApp that just says ""site down?""",Used,2026-06-26,01 - The 11PM WhatsApp Ping,Built before this tracker existed; backfilled
2,Late-night and emergency fires,SSL certificate expired on a Saturday morning,Used,2026-06-29,02 - SSL Cert Expired Saturday,
3,Late-night and emergency fires,White screen of death on Black Friday or a launch day,Used,2026-06-29,03 - White Screen on Launch Day,
4,Late-night and emergency fires,The Friday afternoon "quick update" that ate the weekend,,,,
5,Late-night and emergency fires,"47 browser tabs open during an incident, none of them helping",,,,
6,Daily anxiety and morning ritual,The 25-minute morning dashboard check across 20+ client sites,,,,
7,Daily anxiety and morning ritual,Updates pending across 30 sites and nobody wants to click them,,,,
8,Daily anxiety and morning ritual,The compulsion to refresh client sites between meetings,,,,
9,Where existing tools fall short,MainWP tells you something broke. Not what. Not why.,,,,
10,Where existing tools fall short,"ManageWP ping says ""500 error."" Now what?",,,,
11,Where existing tools fall short,The monitoring tool that sends 47 alerts for the same one issue,,,,
12,Where existing tools fall short,"Health Check plugin: useful at the support desk, useless at 3 AM",,,,
13,Where existing tools fall short,WP Umbrella catches the symptom. You still have to diagnose the cause.,,,,
14,Error messages and diagnostics,"""Fatal error: Uncaught TypeError..."" — translation: your Tuesday is ruined",,,,
15,Error messages and diagnostics,PageSpeed Insights yelling at you with no clear next step,,,,
16,Error messages and diagnostics,PHP version warnings ignored for 6 months because nobody knows what'll break,,,,
17,Error messages and diagnostics,The stack trace your junior burns 2 hours decoding,,,,
18,Plugin and update problems,The plugin update that worked on staging and killed production,,,,
19,Plugin and update problems,Auto-updates silently turned off and nobody noticed for months,,,,
20,Plugin and update problems,The plugin author who abandoned the project three years ago,,,,
21,Plugin and update problems,A free plugin quietly loading 200 autoload options on every request,,,,
22,Plugin and update problems,"The plugin that doubled in size after one ""minor"" update",,,,
23,Client-facing embarrassment,Your client knows the site is down before you do. Every. Time.,,,,
24,Client-facing embarrassment,"Losing a retainer because ""you never told us X was broken""",,,,
25,Client-facing embarrassment,Backups quietly stopped running 12 days ago,,,,
26,Client-facing embarrassment,The contact form has been broken for a week. No leads. No alert.,,,,
27,Hidden and silent failures,"Malware sitting on the site since the 2021 launch, undetected",,,,
28,Hidden and silent failures,The database growing 200MB a month and nobody knows why,,,,
29,Hidden and silent failures,Cron jobs stopped running after the host migration in March,,,,
30,Hidden and silent failures,"Charging the client hourly to diagnose, not fix — the silent margin killer",,,,
